Rollup,State,YYYY-MM,Year,Month #,Month_Name,Value
National,United States,2022-03,2022,03,Mar,0.5%
National,United States,2022-04,2022,04,Apr,0.5%
National,United States,2022-05,2022,05,May,0.5%
National,United States,2022-06,2022,06,Jun,0.5%
National,United States,2022-07,2022,07,Jul,0.4%
National,United States,2022-08,2022,08,Aug,0.5%
National,United States,2022-09,2022,09,Sep,0.5%
State,Alabama,2008-01,2008,01,Jan,1.4%
State,Alabama,2008-02,2008,02,Feb,1.4%
State,Alabama,2008-03,2008,03,Mar,1.4%
State,Alabama,2008-04,2008,04,Apr,1.4%
State,Alabama,2008-05,2008,05,May,1.4%
State,Alabama,2008-06,2008,06,Jun,1.5%
State,Alabama,2008-07,2008,07,Jul,1.6%
State,Alabama,2008-08,2008,08,Aug,1.6%
State,Alabama,2008-09,2008,09,Sep,1.8%
State,Alabama,2008-10,2008,10,Oct,2.0%
State,Alabama,2008-11,2008,11,Nov,2.1%
State,Alabama,2008-12,2008,12,Dec,2.3%
State,Alabama,2009-01,2009,01,Jan,2.5%
State,Alabama,2009-02,2009,02,Feb,2.4%
State,Alabama,2009-03,2009,03,Mar,2.4%
State,Alabama,2009-04,2009,04,Apr,2.5%
State,Alabama,2009-05,2009,05,May,2.6%
State,Alabama,2009-06,2009,06,Jun,2.8%
State,Alabama,2009-07,2009,07,Jul,3.0%
State,Alabama,2009-08,2009,08,Aug,3.1%
State,Alabama,2009-09,2009,09,Sep,3.3%
State,Alabama,2009-10,2009,10,Oct,3.5%
State,Alabama,2009-11,2009,11,Nov,3.8%
State,Alabama,2009-12,2009,12,Dec,3.7%
State,Alabama,2010-01,2010,01,Jan,3.9%
State,Alabama,2010-02,2010,02,Feb,3.8%
State,Alabama,2010-03,2010,03,Mar,3.6%
State,Alabama,2010-04,2010,04,Apr,3.5%
State,Alabama,2010-05,2010,05,May,3.5%
State,Alabama,2010-06,2010,06,Jun,3.5%
State,Alabama,2010-07,2010,07,Jul,3.3%
State,Alabama,2010-08,2010,08,Aug,3.4%
State,Alabama,2010-09,2010,09,Sep,3.4%
State,Alabama,2010-10,2010,10,Oct,3.4%
State,Alabama,2010-11,2010,11,Nov,3.3%
State,Alabama,2010-12,2010,12,Dec,3.3%
State,Alabama,2011-01,2011,01,Jan,3.3%
State,Alabama,2011-02,2011,02,Feb,3.2%
State,Alabama,2011-03,2011,03,Mar,3.1%
State,Alabama,2011-04,2011,04,Apr,2.9%
State,Alabama,2011-05,2011,05,May,3.0%
State,Alabama,2011-06,2011,06,Jun,3.0%
State,Alabama,2011-07,2011,07,Jul,3.0%
State,Alabama,2011-08,2011,08,Aug,2.9%
State,Alabama,2011-09,2011,09,Sep,2.9%
State,Alabama,2011-10,2011,10,Oct,2.9%
State,Alabama,2011-11,2011,11,Nov,3.0%
State,Alabama,2011-12,2011,12,Dec,3.0%
State,Alabama,2012-01,2012,01,Jan,3.2%
State,Alabama,2012-02,2012,02,Feb,3.2%
State,Alabama,2012-03,2012,03,Mar,3.1%
State,Alabama,2012-04,2012,04,Apr,2.9%
State,Alabama,2012-05,2012,05,May,2.9%
State,Alabama,2012-06,2012,06,Jun,2.9%
State,Alabama,2012-07,2012,07,Jul,2.9%
State,Alabama,2012-08,2012,08,Aug,2.9%
State,Alabama,2012-09,2012,09,Sep,2.9%
State,Alabama,2012-10,2012,10,Oct,2.9%
State,Alabama,2012-11,2012,11,Nov,2.8%
State,Alabama,2012-12,2012,12,Dec,2.8%
State,Alabama,2013-01,2013,01,Jan,2.8%
State,Alabama,2013-02,2013,02,Feb,2.8%
State,Alabama,2013-03,2013,03,Mar,2.7%
State,Alabama,2013-04,2013,04,Apr,2.5%
State,Alabama,2013-05,2013,05,May,2.4%
State,Alabama,2013-06,2013,06,Jun,2.4%
State,Alabama,2013-07,2013,07,Jul,2.3%
State,Alabama,2013-08,2013,08,Aug,2.3%
State,Alabama,2013-09,2013,09,Sep,2.4%
State,Alabama,2013-10,2013,10,Oct,2.4%
State,Alabama,2013-11,2013,11,Nov,2.4%
State,Alabama,2013-12,2013,12,Dec,2.5%
State,Alabama,2014-01,2014,01,Jan,2.4%
State,Alabama,2014-02,2014,02,Feb,2.3%
State,Alabama,2014-03,2014,03,Mar,2.3%
State,Alabama,2014-04,2014,04,Apr,2.2%
State,Alabama,2014-05,2014,05,May,2.2%
State,Alabama,2014-06,2014,06,Jun,2.2%
State,Alabama,2014-07,2014,07,Jul,2.1%
State,Alabama,2014-08,2014,08,Aug,2.1%
State,Alabama,2014-09,2014,09,Sep,2.1%
State,Alabama,2014-10,2014,10,Oct,2.1%
State,Alabama,2014-11,2014,11,Nov,2.2%
State,Alabama,2014-12,2014,12,Dec,2.2%
State,Alabama,2015-01,2015,01,Jan,2.2%
State,Alabama,2015-02,2015,02,Feb,2.0%
State,Alabama,2015-03,2015,03,Mar,1.8%
State,Alabama,2015-04,2015,04,Apr,1.7%
State,Alabama,2015-05,2015,05,May,1.8%
State,Alabama,2015-06,2015,06,Jun,1.7%
State,Alabama,2015-07,2015,07,Jul,1.8%
State,Alabama,2015-08,2015,08,Aug,1.8%
State,Alabama,2015-09,2015,09,Sep,1.8%
State,Alabama,2015-10,2015,10,Oct,1.8%
State,Alabama,2015-11,2015,11,Nov,1.8%
State,Alabama,2015-12,2015,12,Dec,1.8%
State,Alabama,2016-01,2016,01,Jan,1.9%
State,Alabama,2016-02,2016,02,Feb,1.9%
State,Alabama,2016-03,2016,03,Mar,1.7%
State,Alabama,2016-04,2016,04,Apr,1.6%
State,Alabama,2016-05,2016,05,May,1.6%
State,Alabama,2016-06,2016,06,Jun,1.5%
State,Alabama,2016-07,2016,07,Jul,1.4%
State,Alabama,2016-08,2016,08,Aug,1.4%
State,Alabama,2016-09,2016,09,Sep,1.4%
State,Alabama,2016-10,2016,10,Oct,1.4%
State,Alabama,2016-11,2016,11,Nov,1.4%
State,Alabama,2016-12,2016,12,Dec,1.5%
State,Alabama,2017-01,2017,01,Jan,1.5%
State,Alabama,2017-02,2017,02,Feb,1.4%
State,Alabama,2017-03,2017,03,Mar,1.4%
State,Alabama,2017-04,2017,04,Apr,1.3%
State,Alabama,2017-05,2017,05,May,1.3%
State,Alabama,2017-06,2017,06,Jun,1.2%
State,Alabama,2017-07,2017,07,Jul,1.2%
State,Alabama,2017-08,2017,08,Aug,1.3%
State,Alabama,2017-09,2017,09,Sep,1.2%
State,Alabama,2017-10,2017,10,Oct,1.2%
State,Alabama,2017-11,2017,11,Nov,1.2%
State,Alabama,2017-12,2017,12,Dec,1.3%
State,Alabama,2018-01,2018,01,Jan,1.3%
State,Alabama,2018-02,2018,02,Feb,1.3%
State,Alabama,2018-03,2018,03,Mar,1.2%
State,Alabama,2018-04,2018,04,Apr,1.1%
State,Alabama,2018-05,2018,05,May,1.1%
State,Alabama,2018-06,2018,06,Jun,1.0%
State,Alabama,2018-07,2018,07,Jul,1.1%
State,Alabama,2018-08,2018,08,Aug,1.1%
State,Alabama,2018-09,2018,09,Sep,1.1%
State,Alabama,2018-10,2018,10,Oct,1.1%
State,Alabama,2018-11,2018,11,Nov,1.1%
State,Alabama,2018-12,2018,12,Dec,1.1%
State,Alabama,2019-01,2019,01,Jan,1.1%
State,Alabama,2019-02,2019,02,Feb,1.1%
State,Alabama,2019-03,2019,03,Mar,1.0%
State,Alabama,2019-04,2019,04,Apr,0.9%
State,Alabama,2019-05,2019,05,May,0.8%
State,Alabama,2019-06,2019,06,Jun,0.9%
State,Alabama,2019-07,2019,07,Jul,0.9%
State,Alabama,2019-08,2019,08,Aug,1.0%
State,Alabama,2019-09,2019,09,Sep,1.0%
State,Alabama,2019-10,2019,10,Oct,1.0%
State,Alabama,2019-11,2019,11,Nov,1.0%
State,Alabama,2019-12,2019,12,Dec,1.1%
State,Alabama,2020-01,2020,01,Jan,1.1%
State,Alabama,2020-02,2020,02,Feb,1.1%
State,Alabama,2020-03,2020,03,Mar,1.0%
State,Alabama,2020-04,2020,04,Apr,0.9%
State,Alabama,2020-05,2020,05,May,0.8%
State,Alabama,2020-06,2020,06,Jun,0.8%
State,Alabama,2020-07,2020,07,Jul,0.8%
State,Alabama,2020-08,2020,08,Aug,0.8%
State,Alabama,2020-09,2020,09,Sep,0.8%
State,Alabama,2020-10,2020,10,Oct,0.7%
State,Alabama,2020-11,2020,11,Nov,0.7%
State,Alabama,2020-12,2020,12,Dec,0.7%
State,Alabama,2021-01,2021,01,Jan,0.7%
State,Alabama,2021-02,2021,02,Feb,0.7%
State,Alabama,2021-03,2021,03,Mar,0.7%
State,Alabama,2021-04,2021,04,Apr,0.6%
State,Alabama,2021-05,2021,05,May,0.6%
State,Alabama,2021-06,2021,06,Jun,0.6%
State,Alabama,2021-07,2021,07,Jul,0.6%
State,Alabama,2021-08,2021,08,Aug,0.7%
State,Alabama,2021-09,2021,09,Sep,0.7%
State,Alabama,2021-10,2021,10,Oct,0.7%
State,Alabama,2021-11,2021,11,Nov,0.7%
State,Alabama,2021-12,2021,12,Dec,0.8%
State,Alabama,2022-01,2022,01,Jan,0.7%
State,Alabama,2022-02,2022,02,Feb,0.7%
State,Alabama,2022-03,2022,03,Mar,0.6%
State,Alabama,2022-04,2022,04,Apr,0.7%
State,Alabama,2022-05,2022,05,May,0.6%
State,Alabama,2022-06,2022,06,Jun,0.5%
State,Alabama,2022-07,2022,07,Jul,0.5%
State,Alabama,2022-08,2022,08,Aug,0.5%
State,Alabama,2022-09,2022,09,Sep,0.5%
State,Alaska,2008-01,2008,01,Jan,0.6%
State,Alaska,2008-02,2008,02,Feb,0.8%
State,Alaska,2008-03,2008,03,Mar,0.8%
State,Alaska,2008-04,2008,04,Apr,0.7%
State,Alaska,2008-05,2008,05,May,0.9%
State,Alaska,2008-06,2008,06,Jun,1.0%
State,Alaska,2008-07,2008,07,Jul,1.1%
State,Alaska,2008-08,2008,08,Aug,0.9%
State,Alaska,2008-09,2008,09,Sep,0.9%
State,Alaska,2008-10,2008,10,Oct,0.9%
State,Alaska,2008-11,2008,11,Nov,0.8%
State,Alaska,2008-12,2008,12,Dec,0.8%
State,Alaska,2009-01,2009,01,Jan,0.8%
State,Alaska,2009-02,2009,02,Feb,1.0%
State,Alaska,2009-03,2009,03,Mar,1.3%
State,Alaska,2009-04,2009,04,Apr,1.2%
State,Alaska,2009-05,2009,05,May,1.3%
State,Alaska,2009-06,2009,06,Jun,1.5%
State,Alaska,2009-07,2009,07,Jul,1.6%
State,Alaska,2009-08,2009,08,Aug,1.9%
State,Alaska,2009-09,2009,09,Sep,2.1%
State,Alaska,2009-10,2009,10,Oct,2.1%
State,Alaska,2009-11,2009,11,Nov,2.0%
State,Alaska,2009-12,2009,12,Dec,2.1%
State,Alaska,2010-01,2010,01,Jan,2.2%
State,Alaska,2010-02,2010,02,Feb,2.2%
State,Alaska,2010-03,2010,03,Mar,1.9%
State,Alaska,2010-04,2010,04,Apr,1.9%
State,Alaska,2010-05,2010,05,May,2.0%
State,Alaska,2010-06,2010,06,Jun,1.9%
State,Alaska,2010-07,2010,07,Jul,2.0%
State,Alaska,2010-08,2010,08,Aug,1.8%
State,Alaska,2010-09,2010,09,Sep,1.8%
State,Alaska,2010-10,2010,10,Oct,1.6%
State,Alaska,2010-11,2010,11,Nov,1.7%
State,Alaska,2010-12,2010,12,Dec,1.7%
State,Alaska,2011-01,2011,01,Jan,1.6%
State,Alaska,2011-02,2011,02,Feb,1.6%
State,Alaska,2011-03,2011,03,Mar,1.4%
State,Alaska,2011-04,2011,04,Apr,1.4%
State,Alaska,2011-05,2011,05,May,1.5%
State,Alaska,2011-06,2011,06,Jun,1.5%
State,Alaska,2011-07,2011,07,Jul,1.6%
State,Alaska,2011-08,2011,08,Aug,1.7%
State,Alaska,2011-09,2011,09,Sep,1.7%
State,Alaska,2011-10,2011,10,Oct,1.6%
State,Alaska,2011-11,2011,11,Nov,1.5%
State,Alaska,2011-12,2011,12,Dec,1.6%
State,Alaska,2012-01,2012,01,Jan,1.5%
State,Alaska,2012-02,2012,02,Feb,1.4%
State,Alaska,2012-03,2012,03,Mar,1.3%
State,Alaska,2012-04,2012,04,Apr,1.4%
State,Alaska,2012-05,2012,05,May,1.4%
State,Alaska,2012-06,2012,06,Jun,1.4%
State,Alaska,2012-07,2012,07,Jul,1.4%
State,Alaska,2012-08,2012,08,Aug,1.3%
State,Alaska,2012-09,2012,09,Sep,1.4%
State,Alaska,2012-10,2012,10,Oct,1.3%
State,Alaska,2012-11,2012,11,Nov,1.2%
State,Alaska,2012-12,2012,12,Dec,1.3%
State,Alaska,2013-01,2013,01,Jan,1.2%
State,Alaska,2013-02,2013,02,Feb,1.1%
State,Alaska,2013-03,2013,03,Mar,1.3%
State,Alaska,2013-04,2013,04,Apr,1.0%
State,Alaska,2013-05,2013,05,May,1.1%
State,Alaska,2013-06,2013,06,Jun,1.2%
State,Alaska,2013-07,2013,07,Jul,1.1%
State,Alaska,2013-08,2013,08,Aug,1.1%
State,Alaska,2013-09,2013,09,Sep,1.1%
State,Alaska,2013-10,2013,10,Oct,1.0%
State,Alaska,2013-11,2013,11,Nov,1.1%
State,Alaska,2013-12,2013,12,Dec,1.0%
State,Alaska,2014-01,2014,01,Jan,1.0%
State,Alaska,2014-02,2014,02,Feb,1.1%
State,Alaska,2014-03,2014,03,Mar,1.1%
State,Alaska,2014-04,2014,04,Apr,1.1%
State,Alaska,2014-05,2014,05,May,1.0%
State,Alaska,2014-06,2014,06,Jun,0.9%
State,Alaska,2014-07,2014,07,Jul,0.8%
State,Alaska,2014-08,2014,08,Aug,0.9%
State,Alaska,2014-09,2014,09,Sep,1.0%
State,Alaska,2014-10,2014,10,Oct,0.9%
State,Alaska,2014-11,2014,11,Nov,0.9%
State,Alaska,2014-12,2014,12,Dec,0.9%
State,Alaska,2015-01,2015,01,Jan,0.9%
State,Alaska,2015-02,2015,02,Feb,0.8%
State,Alaska,2015-03,2015,03,Mar,0.8%
State,Alaska,2015-04,2015,04,Apr,0.8%
State,Alaska,2015-05,2015,05,May,0.8%
State,Alaska,2015-06,2015,06,Jun,0.9%
State,Alaska,2015-07,2015,07,Jul,1.0%
State,Alaska,2015-08,2015,08,Aug,1.0%
State,Alaska,2015-09,2015,09,Sep,0.9%
State,Alaska,2015-10,2015,10,Oct,0.9%
State,Alaska,2015-11,2015,11,Nov,0.6%
State,Alaska,2015-12,2015,12,Dec,0.7%
State,Alaska,2016-01,2016,01,Jan,0.7%
State,Alaska,2016-02,2016,02,Feb,0.8%
State,Alaska,2016-03,2016,03,Mar,0.6%
State,Alaska,2016-04,2016,04,Apr,0.7%
State,Alaska,2016-05,2016,05,May,0.7%
State,Alaska,2016-06,2016,06,Jun,0.8%
State,Alaska,2016-07,2016,07,Jul,0.7%
State,Alaska,2016-08,2016,08,Aug,0.7%
State,Alaska,2016-09,2016,09,Sep,0.7%
State,Alaska,2016-10,2016,10,Oct,0.7%
State,Alaska,2016-11,2016,11,Nov,0.6%
State,Alaska,2016-12,2016,12,Dec,0.6%
State,Alaska,2017-01,2017,01,Jan,0.6%
State,Alaska,2017-02,2017,02,Feb,0.5%
State,Alaska,2017-03,2017,03,Mar,0.6%
State,Alaska,2017-04,2017,04,Apr,0.6%
State,Alaska,2017-05,2017,05,May,0.6%
State,Alaska,2017-06,2017,06,Jun,0.7%
State,Alaska,2017-07,2017,07,Jul,0.6%
State,Alaska,2017-08,2017,08,Aug,0.7%
State,Alaska,2017-09,2017,09,Sep,0.8%
State,Alaska,2017-10,2017,10,Oct,0.8%
State,Alaska,2017-11,2017,11,Nov,0.8%
State,Alaska,2017-12,2017,12,Dec,0.8%
State,Alaska,2018-01,2018,01,Jan,0.7%
State,Alaska,2018-02,2018,02,Feb,0.7%
State,Alaska,2018-03,2018,03,Mar,0.8%
State,Alaska,2018-04,2018,04,Apr,0.8%
State,Alaska,2018-05,2018,05,May,0.8%
State,Alaska,2018-06,2018,06,Jun,0.9%
State,Alaska,2018-07,2018,07,Jul,0.8%
State,Alaska,2018-08,2018,08,Aug,0.8%
State,Alaska,2018-09,2018,09,Sep,0.9%
State,Alaska,2018-10,2018,10,Oct,0.8%
State,Alaska,2018-11,2018,11,Nov,0.7%
State,Alaska,2018-12,2018,12,Dec,0.7%
State,Alaska,2019-01,2019,01,Jan,0.7%
State,Alaska,2019-02,2019,02,Feb,0.7%
State,Alaska,2019-03,2019,03,Mar,0.7%
State,Alaska,2019-04,2019,04,Apr,0.6%
State,Alaska,2019-05,2019,05,May,0.6%
State,Alaska,2019-06,2019,06,Jun,0.7%
State,Alaska,2019-07,2019,07,Jul,0.6%
State,Alaska,2019-08,2019,08,Aug,0.8%
State,Alaska,2019-09,2019,09,Sep,0.7%
State,Alaska,2019-10,2019,10,Oct,0.6%
State,Alaska,2019-11,2019,11,Nov,0.6%
State,Alaska,2019-12,2019,12,Dec,0.6%
State,Alaska,2020-01,2020,01,Jan,0.6%
State,Alaska,2020-02,2020,02,Feb,0.6%
State,Alaska,2020-03,2020,03,Mar,0.6%
State,Alaska,2020-04,2020,04,Apr,0.6%
State,Alaska,2020-05,2020,05,May,0.5%
State,Alaska,2020-06,2020,06,Jun,0.7%
State,Alaska,2020-07,2020,07,Jul,0.6%
State,Alaska,2020-08,2020,08,Aug,0.6%
State,Alaska,2020-09,2020,09,Sep,0.6%
State,Alaska,2020-10,2020,10,Oct,0.6%
State,Alaska,2020-11,2020,11,Nov,0.5%
State,Alaska,2020-12,2020,12,Dec,0.5%
State,Alaska,2021-01,2021,01,Jan,0.4%
State,Alaska,2021-02,2021,02,Feb,0.5%
State,Alaska,2021-03,2021,03,Mar,0.5%
State,Alaska,2021-04,2021,04,Apr,0.4%
State,Alaska,2021-05,2021,05,May,0.4%
State,Alaska,2021-06,2021,06,Jun,0.5%
State,Alaska,2021-07,2021,07,Jul,0.6%
State,Alaska,2021-08,2021,08,Aug,0.5%
State,Alaska,2021-09,2021,09,Sep,0.5%
State,Alaska,2021-10,2021,10,Oct,0.5%
State,Alaska,2021-11,2021,11,Nov,0.6%
State,Alaska,2021-12,2021,12,Dec,0.5%
State,Alaska,2022-01,2022,01,Jan,0.4%
State,Alaska,2022-02,2022,02,Feb,0.6%
State,Alaska,2022-03,2022,03,Mar,0.6%
State,Alaska,2022-04,2022,04,Apr,0.6%
State,Alaska,2022-05,2022,05,May,0.5%
State,Alaska,2022-06,2022,06,Jun,0.4%
State,Alaska,2022-07,2022,07,Jul,0.5%
State,Alaska,2022-08,2022,08,Aug,0.5%
State,Alaska,2022-09,2022,09,Sep,0.5%
State,Arizona,2008-01,2008,01,Jan,1.5%
State,Arizona,2008-02,2008,02,Feb,1.7%
State,Arizona,2008-03,2008,03,Mar,1.8%
State,Arizona,2008-04,2008,04,Apr,1.8%
State,Arizona,2008-05,2008,05,May,1.8%
State,Arizona,2008-06,2008,06,Jun,1.9%
State,Arizona,2008-07,2008,07,Jul,2.1%
State,Arizona,2008-08,2008,08,Aug,2.2%
State,Arizona,2008-09,2008,09,Sep,2.5%
State,Arizona,2008-10,2008,10,Oct,2.9%
State,Arizona,2008-11,2008,11,Nov,3.1%
State,Arizona,2008-12,2008,12,Dec,3.5%
State,Arizona,2009-01,2009,01,Jan,4.0%
State,Arizona,2009-02,2009,02,Feb,4.3%
State,Arizona,2009-03,2009,03,Mar,4.6%
State,Arizona,2009-04,2009,04,Apr,5.0%
State,Arizona,2009-05,2009,05,May,5.4%
State,Arizona,2009-06,2009,06,Jun,5.8%
State,Arizona,2009-07,2009,07,Jul,6.1%
State,Arizona,2009-08,2009,08,Aug,6.3%
State,Arizona,2009-09,2009,09,Sep,6.8%
State,Arizona,2009-10,2009,10,Oct,7.1%
